Disease	ID	ID	ID	ID	ASD Autistic traits	ASD Autistic traits	ASD Autistic traits	ASD Autistic traits	Epilepsy	Epilepsy	Epilepsy	Epilepsy	Microcephaly	Microcephaly	Microcephaly	Microcephaly	Macrocephaly	Macrocephaly	Macrocephaly	Macrocephaly	Hypotonia	Hypotonia	Hypotonia	Hypotonia	Ataxia	Ataxia	Ataxia	Ataxia
Submission ID	AUC	MCC	ACC	F1	AUC	MCC	ACC	F1	AUC	MCC	ACC	F1	AUC	MCC	ACC	F1	AUC	MCC	ACC	F1	AUC	MCC	ACC	F1	AUC	MCC	ACC	F1
1.1	0.57	0.2	0.95	0.98	0.51	0.2	0.73	0.84	0.53	0.24	0.61	0.71	0.57	0.16	0.46	0.41	0.64	0.27	0.86	0.15	0.49	0.2	0.63	0.36	0.46	0.08	0.78	0.14
2.1	0.7	0.16	0.71	0.82	0.55	0.1	0.36	0.22	0.38	-0.01	0.48	0.07	0.51	0.37	0.81	0.29	0.55	0.18	0.81	0.29	0.52	0.06	0.51	0.51	0.61	0.27	0.81	0.17
2.2	0.75	0.22	0.81	0.89	0.5	0.09	0.36	0.25	0.41	0.03	0.49	0.1	0.55	0.36	0.81	0.4	0.5	0.09	0.75	0.23	0.47	0.11	0.6	0.23	0.66	0.28	0.81	0.29
2.3	0.71	0.16	0.71	0.82	0.56	0.11	0.59	0.68	0.39	-0.01	0.48	0.07	0.49	0.37	0.81	0.29	0.56	0.18	0.81	0.29	0.51	0.07	0.53	0.5	0.66	0.33	0.72	0.48
2.4	0.78	0.21	0.79	0.88	0.49	0.09	0.36	0.25	0.41	0.03	0.49	0.1	0.48	0.36	0.81	0.4	0.56	0.14	0.75	0.29	0.49	0.11	0.6	0.23	0.72	0.37	0.72	0.52
2.5	0.64	0.09	0.55	0.7	0.55	0.1	0.36	0.22	0.4	-0.01	0.48	0.07	0.53	0.37	0.81	0.29	0.57	0.18	0.81	0.29	0.49	0.06	0.59	0.18	0.56	0.27	0.81	0.17
2.6	0.74	0.18	0.75	0.86	0.46	0.09	0.36	0.25	0.41	0.03	0.49	0.1	0.49	0.36	0.81	0.4	0.55	0.14	0.75	0.29	0.5	0.11	0.6	0.23	0.66	0.32	0.78	0.45
3.1	0.51	0.12	0.38	0.53	0.52	0.1	0.36	0.22	0.43	-0.1	0.47	0	0.5	0.11	0.78	0.1	0.62	0.18	0.65	0.33	0.54	0.21	0.62	0.13	0.49	-0.07	0.78	0
3.2	0.55	0.13	0.42	0.58	0.52	0.12	0.36	0.23	0.43	-0.07	0.46	0.17	0.5	0.11	0.78	0.1	0.62	0.18	0.65	0.33	0.52	0.15	0.6	0.07	0.49	-0.07	0.78	0
3.3	0.68	0.34	0.97	0.99	0.48	0.05	0.36	0.24	0.44	-0.05	0.47	0.2	0.5	0.11	0.78	0.1	0.62	0.18	0.65	0.33	0.52	0.15	0.6	0.07	0.49	-0.07	0.78	0
4.1	0.61	0.15	0.83	0.91	0.56	0.18	0.36	0.19	0.54	0.19	0.51	0.14	0.57	0.23	0.56	0.44	0.7	0.39	0.79	0.48	0.51	0.17	0.62	0.19	0.45	0.27	0.81	0.17
4.2	0.61	0.11	0.78	0.87	0.56	0.18	0.36	0.19	0.53	0.19	0.51	0.14	0.56	0.23	0.56	0.44	0.69	0.39	0.79	0.48	0.52	0.17	0.62	0.19	0.47	0.27	0.81	0.17
4.3	0.68	0.19	0.88	0.94	0.56	0.2	0.73	0.84	0.56	0.22	0.59	0.51	0.63	0.3	0.52	0.47	0.67	0.39	0.88	0.38	0.56	0.25	0.65	0.33	0.46	0.28	0.81	0.29
5.1	0.84	0.23	0.68	0.8	0.49	-0.02	0.45	0.51	0.5	0.01	0.5	0.39	0.56	0.13	0.72	0.3	0.48	-0.08	0.81	0	0.46	-0.08	0.47	0.38	0.47	-0.12	0.74	0
