	ID	ASD.Autistic.traits	Epilepsy	Microcephaly	Macrocephaly	Hypotonia	Ataxia	AVG	Final
Submission 4.3	7	4	1	1	3	1	12	4.14	1
Submission 4.1	11	1	2	3	1	7	14	5.57	2
Submission 4.2	10	3	4	5	2	5	10	5.57	2
Submission 1.1	12	9	3	2	4	11	13	7.71	4
Submission 2.3	5	2	13	13	10	8	3	7.71	4
Submission 3.2	13	7	7	10	6	3.5	8	7.79	6
Submission 3.3	8	13	6	10	6	3.5	8	7.79	6
Submission 2.1	6	5	14	8	11	6	5	7.86	8
Submission 3.1	14	8	8	10	6	2	8	8	9
Submission 2.4	2	12	9	14	9	10	1	8.14	10
Submission 2.2	3	10	10	6	13	13	4	8.43	11
Submission 2.5	9	6	12	7	8	12	6	8.57	12
Submission 5.1	1	11	5	4	14	14	11	8.57	12
Submission 2.6	4	14	11	12	12	9	2	9.14	14
